Epoch [1/15], Train Loss: 1.7324, Val Loss: 1.6778, Train Acc: 0.7317, Val Acc: 0.7833
Epoch [2/15], Train Loss: 1.6306, Val Loss: 1.6145, Train Acc: 0.8322, Val Acc: 0.8460
Epoch [3/15], Train Loss: 1.6045, Val Loss: 1.6150, Train Acc: 0.8579, Val Acc: 0.8455
Epoch [4/15], Train Loss: 1.5954, Val Loss: 1.5927, Train Acc: 0.8662, Val Acc: 0.8679
Epoch [5/15], Train Loss: 1.5890, Val Loss: 1.5927, Train Acc: 0.8723, Val Acc: 0.8680
Epoch [6/15], Train Loss: 1.5820, Val Loss: 1.5828, Train Acc: 0.8800, Val Acc: 0.8788
Epoch [7/15], Train Loss: 1.5774, Val Loss: 1.5901, Train Acc: 0.8836, Val Acc: 0.8699
Epoch [8/15], Train Loss: 1.5726, Val Loss: 1.5727, Train Acc: 0.8894, Val Acc: 0.8892
Epoch [9/15], Train Loss: 1.5702, Val Loss: 1.5785, Train Acc: 0.8910, Val Acc: 0.8818
Epoch [10/15], Train Loss: 1.5669, Val Loss: 1.5703, Train Acc: 0.8948, Val Acc: 0.8908
Epoch [11/15], Train Loss: 1.5652, Val Loss: 1.5757, Train Acc: 0.8965, Val Acc: 0.8857
Epoch [12/15], Train Loss: 1.5617, Val Loss: 1.5642, Train Acc: 0.9001, Val Acc: 0.8968
Epoch [13/15], Train Loss: 1.5604, Val Loss: 1.5695, Train Acc: 0.9015, Val Acc: 0.8915
Epoch [14/15], Train Loss: 1.5579, Val Loss: 1.5788, Train Acc: 0.9039, Val Acc: 0.8822
Epoch [15/15], Train Loss: 1.5562, Val Loss: 1.5694, Train Acc: 0.9053, Val Acc: 0.8922
