Epoch [1/15], Train Loss: 1.8038, Val Loss: 1.7569, Train Acc: 0.6590, Val Acc: 0.7037
Epoch [2/15], Train Loss: 1.7210, Val Loss: 1.6771, Train Acc: 0.7400, Val Acc: 0.7834
Epoch [3/15], Train Loss: 1.6628, Val Loss: 1.6556, Train Acc: 0.7983, Val Acc: 0.8048
Epoch [4/15], Train Loss: 1.6117, Val Loss: 1.5920, Train Acc: 0.8492, Val Acc: 0.8705
Epoch [5/15], Train Loss: 1.5865, Val Loss: 1.5873, Train Acc: 0.8746, Val Acc: 0.8724
Epoch [6/15], Train Loss: 1.5791, Val Loss: 1.5850, Train Acc: 0.8823, Val Acc: 0.8758
Epoch [7/15], Train Loss: 1.5758, Val Loss: 1.5774, Train Acc: 0.8851, Val Acc: 0.8840
Epoch [8/15], Train Loss: 1.5708, Val Loss: 1.5785, Train Acc: 0.8902, Val Acc: 0.8813
Epoch [9/15], Train Loss: 1.5683, Val Loss: 1.5751, Train Acc: 0.8927, Val Acc: 0.8855
Epoch [10/15], Train Loss: 1.5632, Val Loss: 1.5777, Train Acc: 0.8979, Val Acc: 0.8828
Epoch [11/15], Train Loss: 1.5606, Val Loss: 1.5839, Train Acc: 0.9002, Val Acc: 0.8771
Epoch [12/15], Train Loss: 1.5591, Val Loss: 1.5832, Train Acc: 0.9022, Val Acc: 0.8778
Epoch [13/15], Train Loss: 1.5571, Val Loss: 1.5726, Train Acc: 0.9040, Val Acc: 0.8878
Epoch [14/15], Train Loss: 1.5572, Val Loss: 1.5702, Train Acc: 0.9035, Val Acc: 0.8901
Epoch [15/15], Train Loss: 1.5559, Val Loss: 1.5710, Train Acc: 0.9050, Val Acc: 0.8891
